datetime,cpu_load1,cpu_load5,mem_used(M),mem_free(M)
2025-12-09_00:28:53,0,0,4321,105461
2025-12-09_00:28:58,0,0,4321,105461
2025-12-09_00:29:03,0,0,4330,105453
2025-12-09_00:29:08,0,0,4330,105452
2025-12-09_00:29:13,0,0,4328,105454
2025-12-09_00:29:18,0,0,4323,105459
2025-12-09_00:29:23,0,0,4323,105459
2025-12-09_00:29:28,0,0,4323,105459
2025-12-09_00:29:33,0,0,4323,105459
2025-12-09_00:29:38,0,0,4323,105460
2025-12-09_00:29:43,0,0,4323,105460
2025-12-09_00:29:48,0,0,4322,105460
2025-12-09_00:29:53,0,0,4322,105460
2025-12-09_00:29:58,0,0,4322,105460
2025-12-09_00:30:03,8,2,4324,105458
2025-12-09_00:30:08,7,2,4325,105457
2025-12-09_00:30:13,31,7,4323,105459
2025-12-09_00:30:18,28,6,4322,105460
2025-12-09_00:30:23,58,13,4321,105461
2025-12-09_00:30:28,61,14,4326,105456
2025-12-09_00:30:33,73,18,4325,105457
2025-12-09_00:30:38,67,17,4325,105457
2025-12-09_00:30:43,93,24,4324,105458
2025-12-09_00:30:48,86,23,4324,105458
2025-12-09_00:30:53,111,30,4324,105459
2025-12-09_00:30:58,110,31,4324,105459
2025-12-09_00:31:03,141,39,4325,105457
2025-12-09_00:31:08,130,38,4327,105455
2025-12-09_00:31:13,120,37,4327,105455
2025-12-09_00:31:18,118,38,4328,105455
2025-12-09_00:31:23,117,39,4328,105455
2025-12-09_00:31:28,115,40,4328,105454
2025-12-09_00:31:33,114,41,4327,105456
2025-12-09_00:31:38,129,46,4326,105456
2025-12-09_00:31:43,119,45,4327,105456
2025-12-09_00:31:48,117,46,4327,105456
2025-12-09_00:31:53,108,45,4326,105456
2025-12-09_00:31:58,99,44,4326,105456
2025-12-09_00:32:03,91,43,4327,105455
2025-12-09_00:32:08,100,46,4324,105458
2025-12-09_00:32:13,92,45,4322,105461
2025-12-09_00:32:18,92,46,4319,105463
2025-12-09_00:32:23,109,50,4319,105463
2025-12-09_00:32:28,100,50,4319,105463
2025-12-09_00:32:33,124,55,4318,105464
2025-12-09_00:32:38,114,55,4318,105464
2025-12-09_00:32:43,129,59,4318,105464
2025-12-09_00:32:48,119,58,4318,105464
2025-12-09_00:32:53,117,58,4318,105464
2025-12-09_00:32:58,108,57,4318,105464
2025-12-09_00:33:03,99,56,4311,105471
2025-12-09_00:33:08,91,55,4312,105471
2025-12-09_00:33:13,100,58,4309,105473
2025-12-09_00:33:18,92,57,4312,105470
2025-12-09_00:33:23,85,56,4312,105470
2025-12-09_00:33:28,78,55,4312,105471
2025-12-09_00:33:33,72,54,4311,105471
2025-12-09_00:33:38,66,53,4311,105471
2025-12-09_00:33:43,61,52,4311,105471
2025-12-09_00:33:48,56,51,4311,105471
2025-12-09_00:33:53,51,50,4311,105471
2025-12-09_00:33:58,47,50,4311,105471
2025-12-09_00:34:03,43,49,4316,105466
2025-12-09_00:34:08,40,48,4310,105472
2025-12-09_00:34:13,37,47,4307,105475
2025-12-09_00:34:18,34,46,4304,105478
2025-12-09_00:34:23,31,45,4304,105479
2025-12-09_00:34:28,28,45,4306,105476
2025-12-09_00:34:33,26,44,4305,105478
2025-12-09_00:34:38,24,43,4305,105478
2025-12-09_00:34:43,22,42,4305,105478
2025-12-09_00:34:48,20,42,4305,105478
2025-12-09_00:34:53,19,41,4305,105478
2025-12-09_00:34:58,17,40,4305,105478
2025-12-09_00:35:03,16,40,4313,105470
2025-12-09_00:35:08,14,39,4315,105468
2025-12-09_00:35:13,13,38,4313,105470
2025-12-09_00:35:18,12,38,4313,105469
2025-12-09_00:35:23,11,37,4313,105469
2025-12-09_00:35:28,10,36,4314,105468
2025-12-09_00:35:33,9,36,4314,105468
2025-12-09_00:35:38,9,35,4314,105468
2025-12-09_00:35:43,8,34,4314,105469
2025-12-09_00:35:48,7,34,4314,105469
2025-12-09_00:35:53,7,33,4313,105469
2025-12-09_00:35:58,6,33,4313,105469
2025-12-09_00:36:03,6,32,4317,105465
2025-12-09_00:36:08,5,32,4318,105464
2025-12-09_00:36:13,5,31,4316,105467
2025-12-09_00:36:18,4,31,4315,105467
2025-12-09_00:36:23,4,30,4315,105467
2025-12-09_00:36:28,4,29,4319,105463
2025-12-09_00:36:33,3,29,4318,105464
2025-12-09_00:36:38,3,28,4318,105464
2025-12-09_00:36:43,3,28,4318,105465
2025-12-09_00:36:48,2,27,4317,105465
2025-12-09_00:36:53,2,27,4317,105465
2025-12-09_00:36:58,2,26,4317,105465
2025-12-09_00:37:03,2,26,4323,105459
2025-12-09_00:37:08,2,26,4323,105459
2025-12-09_00:37:13,2,25,4321,105461
2025-12-09_00:37:18,1,25,4321,105462
2025-12-09_00:37:23,1,24,4320,105463
2025-12-09_00:37:28,1,24,4320,105462
2025-12-09_00:37:33,1,23,4320,105462
2025-12-09_00:37:38,1,23,4320,105462
2025-12-09_00:37:43,1,23,4320,105462
2025-12-09_00:37:48,1,22,4320,105462
2025-12-09_00:37:53,1,22,4320,105462
2025-12-09_00:37:58,1,21,4320,105462
2025-12-09_00:38:03,0,21,4319,105463
2025-12-09_00:38:08,0,21,4319,105463
2025-12-09_00:38:13,0,20,4317,105465
2025-12-09_00:38:18,0,20,4316,105466
2025-12-09_00:38:23,0,20,4316,105466
2025-12-09_00:38:28,0,19,4316,105466
2025-12-09_00:38:33,8,21,4316,105466
2025-12-09_00:38:38,8,20,4316,105466
2025-12-09_00:38:43,7,20,4316,105466
2025-12-09_00:38:48,6,20,4316,105467
2025-12-09_00:38:53,6,19,4315,105467
2025-12-09_00:38:58,5,19,4315,105467
2025-12-09_00:39:03,5,18,4326,105456
2025-12-09_00:39:08,4,18,4326,105456
2025-12-09_00:39:13,4,18,4326,105456
2025-12-09_00:39:18,4,17,4325,105457
2025-12-09_00:39:23,3,17,4325,105457
2025-12-09_00:39:28,3,17,4324,105458
2025-12-09_00:39:33,3,17,4326,105456
2025-12-09_00:39:38,3,16,4326,105456
2025-12-09_00:39:43,2,16,4326,105456
2025-12-09_00:39:48,2,16,4326,105456
2025-12-09_00:39:53,2,15,4326,105456
2025-12-09_00:39:58,2,15,4326,105456
2025-12-09_00:40:03,2,15,4332,105451
2025-12-09_00:40:08,1,15,4332,105450
2025-12-09_00:40:13,1,14,4330,105452
2025-12-09_00:40:18,1,14,4329,105453
2025-12-09_00:40:23,1,14,4329,105454
2025-12-09_00:40:28,1,14,4328,105454
2025-12-09_00:40:33,1,13,4329,105453
2025-12-09_00:40:38,1,13,4329,105453
2025-12-09_00:40:43,1,13,4329,105453
2025-12-09_00:40:48,1,13,4329,105453
2025-12-09_00:40:53,0,12,4329,105453
2025-12-09_00:40:58,0,12,4329,105453
2025-12-09_00:41:03,0,12,4328,105454
2025-12-09_00:41:08,0,12,4327,105455
2025-12-09_00:41:13,0,11,4327,105456
2025-12-09_00:41:18,0,11,4326,105456
2025-12-09_00:41:23,0,11,4326,105456
2025-12-09_00:41:28,0,11,4325,105457
2025-12-09_00:41:33,0,11,4324,105458
2025-12-09_00:41:38,0,10,4324,105458
2025-12-09_00:41:43,0,10,4323,105459
2025-12-09_00:41:48,0,10,4323,105459
2025-12-09_00:41:53,0,10,4323,105459
2025-12-09_00:41:58,0,10,4323,105459
2025-12-09_00:42:03,0,9,4323,105459
2025-12-09_00:42:08,0,9,4322,105460
2025-12-09_00:42:13,8,11,4322,105460
2025-12-09_00:42:18,7,11,4322,105460
2025-12-09_00:42:23,7,10,4321,105461
2025-12-09_00:42:28,14,12,4321,105461
2025-12-09_00:42:33,13,12,4316,105466
2025-12-09_00:42:38,12,11,4316,105466
2025-12-09_00:42:43,11,11,4316,105466
2025-12-09_00:42:48,10,11,4316,105467
2025-12-09_00:42:53,9,11,4315,105467
2025-12-09_00:42:58,8,11,4315,105467
2025-12-09_00:43:03,8,10,4318,105464
2025-12-09_00:43:08,7,10,4318,105464
2025-12-09_00:43:13,15,12,4319,105464
2025-12-09_00:43:18,13,12,4319,105463
2025-12-09_00:43:23,12,11,4319,105463
2025-12-09_00:43:28,11,11,4316,105466
2025-12-09_00:43:33,10,11,4316,105466
2025-12-09_00:43:38,10,11,4316,105466
2025-12-09_00:43:43,9,11,4316,105466
2025-12-09_00:43:48,8,10,4316,105466
2025-12-09_00:43:53,7,10,4315,105467
2025-12-09_00:43:58,7,10,4315,105467
2025-12-09_00:44:03,6,10,4309,105473
2025-12-09_00:44:08,6,10,4308,105474
2025-12-09_00:44:13,5,9,4311,105471
2025-12-09_00:44:18,5,9,4313,105470
2025-12-09_00:44:23,4,9,4312,105470
2025-12-09_00:44:28,4,9,4312,105470
2025-12-09_00:44:33,4,9,4312,105470
2025-12-09_00:44:38,3,8,4312,105470
2025-12-09_00:44:43,3,8,4312,105470
2025-12-09_00:44:48,3,8,4312,105470
2025-12-09_00:44:53,2,8,4312,105470
2025-12-09_00:44:58,2,8,4312,105470
2025-12-09_00:45:03,2,8,4321,105461
2025-12-09_00:45:08,2,8,4321,105461
2025-12-09_00:45:13,2,7,4321,105462
2025-12-09_00:45:18,2,7,4321,105461
2025-12-09_00:45:23,1,7,4320,105462
2025-12-09_00:45:28,1,7,4320,105462
2025-12-09_00:45:33,1,7,4318,105464
2025-12-09_00:45:38,1,7,4318,105464
2025-12-09_00:45:43,1,7,4317,105465
2025-12-09_00:45:48,1,6,4317,105465
2025-12-09_00:45:53,1,6,4317,105465
2025-12-09_00:45:58,1,6,4317,105465
2025-12-09_00:46:03,1,6,4313,105469
2025-12-09_00:46:08,0,6,4312,105470
2025-12-09_00:46:13,0,6,4308,105474
2025-12-09_00:46:18,0,6,4308,105474
2025-12-09_00:46:23,0,6,4308,105474
2025-12-09_00:46:28,0,5,4308,105474
2025-12-09_00:46:33,0,5,4309,105473
2025-12-09_00:46:38,0,5,4309,105473
2025-12-09_00:46:43,0,5,4308,105474
2025-12-09_00:46:48,0,5,4308,105474
2025-12-09_00:46:53,0,5,4308,105474
2025-12-09_00:46:58,0,5,4308,105474
2025-12-09_00:47:03,0,5,4313,105469
2025-12-09_00:47:08,0,5,4313,105469
2025-12-09_00:47:13,0,5,4314,105468
2025-12-09_00:47:18,0,4,4315,105467
2025-12-09_00:47:23,0,4,4314,105468
2025-12-09_00:47:28,0,4,4313,105469
2025-12-09_00:47:33,0,4,4312,105470
2025-12-09_00:47:38,0,4,4311,105471
2025-12-09_00:47:43,0,4,4311,105471
2025-12-09_00:47:48,0,4,4311,105471
2025-12-09_00:47:53,0,4,4311,105471
2025-12-09_00:47:58,0,4,4311,105471
2025-12-09_00:48:03,0,4,4310,105472
2025-12-09_00:48:08,0,4,4310,105472
2025-12-09_00:48:13,0,3,4307,105475
2025-12-09_00:48:18,0,3,4310,105472
2025-12-09_00:48:23,0,3,4309,105473
2025-12-09_00:48:28,0,3,4309,105473
2025-12-09_00:48:33,0,3,4312,105470
2025-12-09_00:48:38,0,3,4312,105470
2025-12-09_00:48:43,0,3,4312,105470
2025-12-09_00:48:48,0,3,4311,105470
2025-12-09_00:48:53,0,3,4311,105471
2025-12-09_00:48:58,0,3,4311,105471
2025-12-09_00:49:03,0,3,4309,105472
2025-12-09_00:49:08,0,3,4309,105473
2025-12-09_00:49:13,0,3,4311,105471
2025-12-09_00:49:18,0,3,4310,105472
2025-12-09_00:49:23,0,2,4309,105473
2025-12-09_00:49:28,0,2,4309,105473
2025-12-09_00:49:33,0,2,4310,105472
2025-12-09_00:49:38,0,2,4310,105472
2025-12-09_00:49:43,0,2,4310,105472
2025-12-09_00:49:48,0,2,4309,105473
2025-12-09_00:49:53,0,2,4309,105473
2025-12-09_00:49:58,0,2,4309,105473
2025-12-09_00:50:03,0,2,4306,105476
2025-12-09_00:50:08,0,2,4306,105476
